patterns,Supp X,Supp Y,Supp Z
(4+9+)(2+7+9+),0.5,0.06,0.67
(7+)(3+4-8+)(6+7+9+),0.4,0.18,0.67
(7+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.06,0.66
(7+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(7+)(3+6+)(1+3+6+),0.4,0.06,0.66
(7+)(3+4+8+),0.4,0.06,0.66
(7+)(1+4+9+),0.4,0.05,0.66
(7+)(2+7+9+),0.5,0.06,0.67
(7+)(4+7-),0.4,0.05,0.66
(3+4+)(3+4-8+)(6+7+9+),0.4,0.08,0.67
(3+4+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(3+4+)(3+6+)(1+3+6+),0.4,0.06,0.66
(3+4+)(3+4+8+),0.4,0.06,0.66
(3+4+)(2+4-7+),0.4,0.06,0.66
(3+4+)(1+4+9+),0.4,0.05,0.66
(3+4+)(1+3+4+),0.5,0.05,0.67
(3+4+)(2+7+9+),0.5,0.06,0.67
(3+4+)(4+7-),0.4,0.05,0.66
(2+7+)(3+4-8+)(6+7+9+),0.4,0.13,0.67
(2+7+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.06,0.66
(2+7+)(3+6+)(1+3+6+),0.4,0.06,0.66
(2+7+)(3+4+8+),0.4,0.06,0.66
(2+7+)(2+4-7+),0.4,0.06,0.66
(2+7+)(1+4+9+),0.4,0.05,0.66
(2+7+)(1+3+4+),0.5,0.05,0.67
(2+7+)(2+7+9+),0.5,0.06,0.67
(2+7+)(4+7-),0.4,0.05,0.66
(1+2+6+)(1+3+4+)(2+4-7+),0.4,0.07,0.66
(1+2+6+)(1+3+4+)(6+7+9+),0.4,0.06,0.66
(1+2+6+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+2+6+)(3+4+8+),0.4,0.06,0.66
(1+2+6+)(1+3+6+),0.4,0.06,0.66
(1+2+6+)(2+7+9+),0.5,0.06,0.67
(2+3+4+7+8+),0.5,0.05,0.67
(7+8+)(1+3+4+)(2+4-7+),0.4,0.09,0.67
(7+8+)(1+3+4+)(6+7+9+),0.4,0.06,0.66
(7+8+)(3+4-8+),0.4,0.05,0.66
(7+8+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
